slug,title,fareharborShortname,showFareharbor,tripadvisorUrl,showTripadvisor,getyourguideUrl,showGetyourguide,viatorUrl,showViator
adventure-boat-sunset-cruise,Tiki Escape Sunset Cruise,theadventureboat,TRUE,,FALSE,,FALSE,,FALSE
adventure-boat-semi-private-snorkel,Semi-Private Snorkeling Adventure,theadventureboat,TRUE,,FALSE,,FALSE,,FALSE
three-tikis-waikiki-sunset-sail,Waikiki Sunset Sail,threetikisailing,TRUE,,FALSE,,FALSE,,FALSE
three-tikis-waikiki-turtle-snorkeling,Waikiki Turtle Snorkeling,threetikisailing,TRUE,,FALSE,,FALSE,,FALSE
tradewind-reef-fishing-snorkeling-charter,Reef Fishing & Snorkeling Adventure Private Charter,tradewindcharters,TRUE,,FALSE,,FALSE,,FALSE
tradewind-friday-fireworks-cruise,Waikiki Friday Fireworks Cruise Private Charter,tradewindcharters,TRUE,,FALSE,,FALSE,,FALSE
try-scuba-honolulu-discover-scuba,Try Scuba Diving Tour,tryscuba-honolulu,TRUE,,FALSE,,FALSE,,FALSE
try-scuba-honolulu-guided-snorkel,Guided Snorkel Tour + Free Videos,tryscuba-honolulu,TRUE,,FALSE,,FALSE,,FALSE
wai-kai-wave-sessions,Wave Pool Sessions,waikai-atthelineup,TRUE,,FALSE,,FALSE,,FALSE
wai-kai-lagoon-sport-rentals,Lagoon Sport Rentals,waikai-atthelineup,TRUE,,FALSE,,FALSE,,FALSE
wai-kai-kekoa-cazimero-pro-surfer,Kekoa Cazimero (Pro Surfer) Surf Experience,waikai-atthelineup,TRUE,,FALSE,,FALSE,,FALSE
wai-kai-ultimate-experience,Wai Kai Ultimate Experience,waikai-atthelineup,TRUE,,FALSE,,FALSE,,FALSE
waikiki-beach-services-surf-lesson,One-on-One Individual Surf Lesson,waikikibeachservices,TRUE,,FALSE,,FALSE,,FALSE
waikiki-beach-services-sup-lesson,One-on-One Individual Stand-Up Paddle Lesson,waikikibeachservices,TRUE,,FALSE,,FALSE,,FALSE
waikiki-beach-services-outrigger-surfing,Outrigger Canoe Surfing,waikikibeachservices,TRUE,,FALSE,,FALSE,,FALSE
waikiki-beach-services-outrigger-charter,Outrigger Canoe Charter,waikikibeachservices,TRUE,,FALSE,,FALSE,,FALSE
waikiki-dive-center-shipwreck-reef,Magnificent 2 Tank Shipwreck and/or Reef Boat Dive,waikikidivecenter,TRUE,,FALSE,,FALSE,,FALSE
holokai-catamaran-waikiki-afternoon-sail,Waikiki Afternoon Sail,waikikirigger,TRUE,,FALSE,,FALSE,,FALSE
holokai-catamaran-turtle-canyon-snorkel,Turtle Canyon Snorkel,waikikirigger,TRUE,,FALSE,,FALSE,,FALSE
wildlife-hawaii-north-shore-shuttle,Round Trip North Shore Haleiwa Shuttle,wildlifehawaii,TRUE,,FALSE,,FALSE,,FALSE
xtreme-parasail-diamond-head,Parasail,xtreme,TRUE,,FALSE,,FALSE,,FALSE
yoga-floats-sup-yoga,SUP Yoga,yogafloats,TRUE,,FALSE,,FALSE,,FALSE
yoga-floats-light-up-the-night,Light up the Night,yogafloats,TRUE,,FALSE,,FALSE,,FALSE
lavaloha-tree-to-chocolate-tour,Tree-to-Chocolate Tour,lavaloha,TRUE,,FALSE,,FALSE,,FALSE
malahini-tours-volcanoes-national-park,Hawaii's Volcanoes National Park Tour,malahinitours,TRUE,,FALSE,,FALSE,,FALSE
malahini-tours-majestic-waterfalls,Majestic Waterfalls Tour,malahinitours,TRUE,,FALSE,,FALSE,,FALSE
ohana-ranch-atv-tour,Ohana Ranch ATV Tour,ohanaranch,TRUE,,FALSE,,FALSE,,FALSE
ohana-ranch-petting-zoo-goats,Petting Zoo + Cuddle Baby Goats,ohanaranch,TRUE,,FALSE,,FALSE,,FALSE
shaka-braddah-big-island-day-tour,Big Island Day Tour w/ Lunch,shakabraddahtours,TRUE,,FALSE,,FALSE,,FALSE
volcano-ohana-5hr-fat-tire-cruise-passengers,5 Hour Fat Tire E-Bike Tour for Cruise Passengers - Volcanoes National Park,volcanoohana,TRUE,,FALSE,,FALSE,,FALSE
volcano-ohana-kalapana-beach-road,Fat Tire E-Bike Tour - Kalapana Beach Road and Volcanoes National Park,volcanoohana,TRUE,,FALSE,,FALSE,,FALSE
wasabi-tours-big-island-grand-circle,Big Island Grand Circle Island Tour,wasabi,TRUE,,FALSE,,FALSE,,FALSE
wasabi-tours-twilight-volcano-stargazing,Twilight Volcano and Stargazing Tour,wasabi,TRUE,,FALSE,,FALSE,,FALSE
wasabi-tours-waterfalls-adventure,Big Island Waterfalls Adventure,wasabi,TRUE,,FALSE,,FALSE,,FALSE
umauma-falls-private-waterfall-swim,Private Waterfall and River Swim,ziplinehawaii,TRUE,,FALSE,,FALSE,,FALSE
umauma-falls-zip-n-dip-combo,Zip N Dip Combo,ziplinehawaii,TRUE,,FALSE,,FALSE,,FALSE
hawaii-zipline-tours-honomu,Zipline Adventure,ziplinetourshawaii,TRUE,,FALSE,,FALSE,,FALSE
sea-paradise-sailing-snorkeling,Sailing & Snorkeling Tour,seaparadise,TRUE,,FALSE,,FALSE,,FALSE
sea-paradise-manta-ray-night-snorkel,Manta Ray Night Snorkeling Tour,seaparadise,TRUE,,FALSE,,FALSE,,FALSE
maui-bombers-upcountry-food-cruise,Upcountry Food Cruise,mauibombers,TRUE,,FALSE,,FALSE,,FALSE
maui-diamond-lanai-cathedrals,Lanai Cathedrals (2-Tank Dive),mauidreamsdiveco,TRUE,,FALSE,,FALSE,,FALSE
maui-diamond-molokini-2tank,Molokini Crater 2-Tank Dive Charter,mauidreamsdiveco,TRUE,,FALSE,,FALSE,,FALSE
maui-off-road-lahaina-adventure,Lahaina Adventure,mauioffroadadventureswestside,TRUE,,FALSE,,FALSE,,FALSE
makena-coast-molokini-turtle-town,Molokini Crater & Turtle Town Snorkeling,mauiunderwater,TRUE,,FALSE,,FALSE,,FALSE
glass-experience-maui-blowing,Glass Blowing Experience,makaiglass,TRUE,,FALSE,,FALSE,,FALSE
maui-custom-charters-sunset,Private Sunset Charter,sail-maui,TRUE,,FALSE,,FALSE,,FALSE
maui-custom-charters-full-day-snorkel-sail,Full Day Snorkel & Sail,sail-maui,TRUE,,FALSE,,FALSE,,FALSE
maui-custom-charters-morning-snorkel-sail,Catamaran Private Morning Snorkel & Sail,sail-maui,TRUE,,FALSE,,FALSE,,FALSE
unicorn-tours-tiki-bar-sunset,Sunset Sailing on a Floating Tiki Bar,sailwinona,TRUE,,FALSE,,FALSE,,FALSE
unicorn-tours-coral-garden-turtle-town,Discover the Magic of Coral Garden's Turtle Town,sailwinona,TRUE,,FALSE,,FALSE,,FALSE
my-splash-non-swimmers-snorkel,Snorkeling for Non-Swimmers with Photos,seascootersnorkeling,TRUE,,FALSE,,FALSE,,FALSE
my-splash-turtle-town-sea-scooter,Turtle Town Sea Scooter Snorkeling Tour with Photos and Video,seascootersnorkeling,TRUE,,FALSE,,FALSE,,FALSE
my-splash-turtle-town-beginners,Turtle Town Snorkel with Free Photo and Video - Beginners,seascootersnorkeling,TRUE,,FALSE,,FALSE,,FALSE
local-pros-maui-surf-lessons,Surf Lessons,surflessonsinmauihi,TRUE,,FALSE,,FALSE,,FALSE
surf-yoga-maui-lesson,Surf Lesson,surfyogamaui,TRUE,,FALSE,,FALSE,,FALSE
unique-maui-tours-road-to-hana,Unique Road to Hana,uniquehawaiiexperience,TRUE,,FALSE,,FALSE,,FALSE
northshore-zipline-maui-tour,NorthShore Zipline Tour,nszipline,TRUE,,FALSE,,FALSE,,FALSE
na-pali-riders-sea-caves-raft-snorkel,Na Pali Coast Sea Caves Raft Expedition + Snorkel,napaliriders,TRUE,,FALSE,,FALSE,,FALSE
napali-hanalei-snorkel-adventure,Napali Snorkel Adventure,napalitours,TRUE,,FALSE,,FALSE,,FALSE
polynesian-adventure-waimea-canyon-wailua-fern-grotto,"Waimea Canyon, Wailua River & Fern Grotto Tour",polyad-activities,TRUE,,FALSE,,FALSE,,FALSE
